os_postcode,uprn,pao,street,town,postcode,lr_ccod_address,uprn2,os_lpi_address,os_pao
SE22 8DB,200003755331,STAGSHAW HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755331,"STAGSHAW HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8DB",STAGSHAW HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD
SE22 8AR,200003755330,RINGMER HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755330,"RINGMER HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8AR",RINGMER HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD
SE22 8DD,200003755329,PETWORTH HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755329,"PETWORTH HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8DD",PETWORTH HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD
SE22 8AL,200003755328,MELBREAK HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755328,"MELBREAK HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8AL",MELBREAK HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD
SE22 8AN,200003755327,LEDBURY HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755327,"LEDBURY HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8AN",LEDBURY HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD
SE22 8BT,200003755326,INWOOD HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755326,"INWOOD HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8BT",INWOOD HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD
SE22 8BU,200003755325,GATCOMBE HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755325,"GATCOMBE HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8BU",GATCOMBE HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD
SE1 3BY,200003755324,ST LAWRENCE HOUSE ST SAVIOURS ESTATE,PURBROOK STREET,,,"Land at Stevens Street, London (SE1 3BX)",200003755324,"ST LAWRENCE HOUSE ST SAVIOURS ESTATE, PURBROOK STREET, LONDON, SE1 3BY",ST LAWRENCE HOUSE ST SAVIOURS ESTATE PURBROOK STREET
SE15 6UU,200003755318,COLLINSON HOUSE LINDLEY ESTATE,PECKHAM PARK ROAD,,,"The Lindley Housing Estate, Commercial Way, London",200003755318,"COLLINSON HOUSE LINDLEY ESTATE, PECKHAM PARK ROAD, LONDON, SE15 6UU",COLLINSON HOUSE LINDLEY ESTATE PECKHAM PARK ROAD
SE15 1EA,200003755317,AMBLESIDE POINT TUSTIN ESTATE,PATTERDALE ROAD,,,"Tustin Estate, Old Kent Road, London",200003755317,"AMBLESIDE POINT TUSTIN ESTATE, PATTERDALE ROAD, LONDON, SE15 1EA",AMBLESIDE POINT TUSTIN ESTATE PATTERDALE ROAD
SE17 3NW,200003755316,MORTON HOUSE BRANDON ESTATE,OTTO STREET,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003755316,"MORTON HOUSE BRANDON ESTATE, OTTO STREET, LONDON, SE17 3NW",MORTON HOUSE BRANDON ESTATE OTTO STREET
SE17 3PE,200003755315,CORNISH HOUSE BRANDON ESTATE,OTTO STREET,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003755315,"CORNISH HOUSE BRANDON ESTATE, OTTO STREET, LONDON, SE17 3PE",CORNISH HOUSE BRANDON ESTATE OTTO STREET
SE1 1YX,200003755313,NORTHFLEET HOUSE TABARD GARDEN ESTATE,NEWCOMEN STREET,,,"Betsham House and parts of Northfleet House, Boughton House, Balin House and Brenley House, Mermaid Court",200003755313,"NORTHFLEET HOUSE TABARD GARDEN ESTATE, NEWCOMEN STREET, LONDON, SE1 1YX",NORTHFLEET HOUSE TABARD GARDEN ESTATE NEWCOMEN STREET
SE16 7BL,200003755308,RITCHIE HOUSE HOWLANDS ESTATE,MOODKEE STREET,,,"Howland Estate, London",200003755308,"RITCHIE HOUSE HOWLANDS ESTATE, MOODKEE STREET, LONDON, SE16 7BL",RITCHIE HOUSE HOWLANDS ESTATE MOODKEE STREET
SE1 3NX,200003755307,WHARTON HOUSE ST SAVIOURS ESTATE,MILLSTREAM ROAD,,,"land and buildings lying to the west of Stanworth Street, London",200003755307,"WHARTON HOUSE ST SAVIOURS ESTATE, MILLSTREAM ROAD, LONDON, SE1 3NX",WHARTON HOUSE ST SAVIOURS ESTATE MILLSTREAM ROAD
SE16 4SX,200003755306,CASBY HOUSE DICKENS ESTATE,MARINE STREET,,,"65, 67 and 69 Jamaica Road and the sites of 4 and 5 Llewellyn Grove, London",200003755306,"CASBY HOUSE DICKENS ESTATE, MARINE STREET, LONDON, SE16 4SX",CASBY HOUSE DICKENS ESTATE MARINE STREET
SE5 7HU,200003755296,MASTERMAN HOUSE ELMINGTON ESTATE,LOMOND GROVE,,,"Kenyon House, Bowyer Place, Milton House, Keats House, Part of Marvell House, Part of Kipling House, Landor House and Lamb House, Camberwell Road Part of Masterman House, Pope House part of Flecker House, Lomond Grove and part of 1 to 20 Broome Way, Camberwell",200003755296,"MASTERMAN HOUSE ELMINGTON ESTATE, LOMOND GROVE, LONDON, SE5 7HU",MASTERMAN HOUSE ELMINGTON ESTATE LOMOND GROVE
SE15 6SE,200003755294,EDNAM HOUSE FRIARY ESTATE,LATONA ROAD,,,"Land at Friary Estate, London",200003755294,"EDNAM HOUSE FRIARY ESTATE, LATONA ROAD, LONDON, SE15 6SE",EDNAM HOUSE FRIARY ESTATE LATONA ROAD
SE17 2LL,200003755293,TENTERDEN HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",200003755293,"TENTERDEN HOUSE KINGLAKE ESTATE, KINGLAKE STREET, LONDON, SE17 2LL",TENTERDEN HOUSE KINGLAKE ESTATE KINGLAKE STREET
SE17 2RB,200003755290,KESTON HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",200003755290,"KESTON HOUSE KINGLAKE ESTATE, KINGLAKE STREET, LONDON, SE17 2RB",KESTON HOUSE KINGLAKE ESTATE KINGLAKE STREET
SE17 2LG,200003755289,HADLOW HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",200003755289,"HADLOW HOUSE KINGLAKE ESTATE, KINGLAKE STREET, LONDON, SE17 2LG",HADLOW HOUSE KINGLAKE ESTATE KINGLAKE STREET
SE17 2RE,200003755288,FAVERSHAM HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,"Flat 1 to 81, Ravenstone, Bagshot Street, London, Flat 1 to 30 Foxcote, 150 Albany Road, London, Flat 1 to 25 Padbury, Bagshot Street, London, Flat 1 to 30 Winslow, Kinglake Street, London and Flat 1 to 28 Faversham House, Kinglake Estate, London",200003755288,"FAVERSHAM HOUSE KINGLAKE ESTATE, KINGLAKE STREET, LONDON, SE17 2RE",FAVERSHAM HOUSE KINGLAKE ESTATE KINGLAKE STREET
SE17 2LH,200003755287,BETHERSDEN HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",200003755287,"BETHERSDEN HOUSE KINGLAKE ESTATE, KINGLAKE STREET, LONDON, SE17 2LH",BETHERSDEN HOUSE KINGLAKE ESTATE KINGLAKE STREET
SE5 7QP,200003755284,CUNNINGHAM HOUSE ELMINGTON ESTATE,HOPEWELL STREET,,,"Elmington Housing Estate, Elmington Road, London",200003755284,"CUNNINGHAM HOUSE ELMINGTON ESTATE, HOPEWELL STREET, LONDON, SE5 7QP",CUNNINGHAM HOUSE ELMINGTON ESTATE HOPEWELL STREET
SE17 3PQ,200003755283,CRUDEN HOUSE BRANDON ESTATE,HILLINGDON STREET,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003755283,"CRUDEN HOUSE BRANDON ESTATE, HILLINGDON STREET, LONDON, SE17 3PQ",CRUDEN HOUSE BRANDON ESTATE HILLINGDON STREET
SE17 3PJ,200003755282,BRAWNE HOUSE BRANDON ESTATE,HILLINGDON STREET,,,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",200003755282,"BRAWNE HOUSE BRANDON ESTATE, HILLINGDON STREET, LONDON, SE17 3PJ",BRAWNE HOUSE BRANDON ESTATE HILLINGDON STREET
SE15 5NJ,200003755274,HERON HOUSE PELICAN ESTATE,GRUMMANT ROAD,,,"Land on the east side of Talfourd Road, London",200003755274,"HERON HOUSE PELICAN ESTATE, GRUMMANT ROAD, LONDON, SE15 5NJ",HERON HOUSE PELICAN ESTATE GRUMMANT ROAD
SE15 5NF,200003755273,CRANE HOUSE PELICAN ESTATE,GRUMMANT ROAD,,,"Land on the east side of Talfourd Road, London",200003755273,"CRANE HOUSE PELICAN ESTATE, GRUMMANT ROAD, LONDON, SE15 5NF",CRANE HOUSE PELICAN ESTATE GRUMMANT ROAD
SE15 1RS,200003755271,READING HOUSE FRIARY ESTATE,GREEN HUNDRED ROAD,,,"the sites of 41 to 57 (odd), Peckham Park Road, 1 to 19 Bridgnorth House, 1 to 75 Cardiff House, 1 to 19 Exeter House, 1 to 45 Grantham House, 1 to 46 Aylesbury House, 1 to 23 Breamore House, 1 to 25 Ely House, 1 to 25 Gisburn House, 1 to 23 Royston House, 1 to 16 Tortington House, 1 to 16 Stanesgate House, 1 to 48 Lewes House, 1-30 Lynn House, 1-38 Reading House, London",200003755271,"READING HOUSE FRIARY ESTATE, GREEN HUNDRED ROAD, LONDON, SE15 1RS",READING HOUSE FRIARY ESTATE GREEN HUNDRED ROAD
SE15 1RP,200003755270,LEWES HOUSE FRIARY ESTATE,GREEN HUNDRED ROAD,,,"the sites of 41 to 57 (odd), Peckham Park Road, 1 to 19 Bridgnorth House, 1 to 75 Cardiff House, 1 to 19 Exeter House, 1 to 45 Grantham House, 1 to 46 Aylesbury House, 1 to 23 Breamore House, 1 to 25 Ely House, 1 to 25 Gisburn House, 1 to 23 Royston House, 1 to 16 Tortington House, 1 to 16 Stanesgate House, 1 to 48 Lewes House, 1-30 Lynn House, 1-38 Reading House, London",200003755270,"LEWES HOUSE FRIARY ESTATE, GREEN HUNDRED ROAD, LONDON, SE15 1RP",LEWES HOUSE FRIARY ESTATE GREEN HUNDRED ROAD
SE15 1RN,200003755269,GRANTHAM HOUSE FRIARY ESTATE,GREEN HUNDRED ROAD,,,"the sites of 41 to 57 (odd), Peckham Park Road, 1 to 19 Bridgnorth House, 1 to 75 Cardiff House, 1 to 19 Exeter House, 1 to 45 Grantham House, 1 to 46 Aylesbury House, 1 to 23 Breamore House, 1 to 25 Ely House, 1 to 25 Gisburn House, 1 to 23 Royston House, 1 to 16 Tortington House, 1 to 16 Stanesgate House, 1 to 48 Lewes House, 1-30 Lynn House, 1-38 Reading House, London",200003755269,"GRANTHAM HOUSE FRIARY ESTATE, GREEN HUNDRED ROAD, LONDON, SE15 1RN",GRANTHAM HOUSE FRIARY ESTATE GREEN HUNDRED ROAD
SE1 3EQ,200003755267,WOODVILLE HOUSE ST SAVIOURS ESTATE,GRANGE WALK,,,St Saviour's Estate,200003755267,"WOODVILLE HOUSE ST SAVIOURS ESTATE, GRANGE WALK, LONDON, SE1 3EQ",WOODVILLE HOUSE ST SAVIOURS ESTATE GRANGE WALK
SE1 3EG,200003755266,VALOIS HOUSE ST SAVIOURS ESTATE,GRANGE WALK,,,St Saviour's Estate,200003755266,"VALOIS HOUSE ST SAVIOURS ESTATE, GRANGE WALK, LONDON, SE1 3EG",VALOIS HOUSE ST SAVIOURS ESTATE GRANGE WALK
SE16 3PE,200003755263,TREVITHICK HOUSE RENNIE ESTATE,GALLEYWALL ROAD,,,"1 to 52 Landmann House, 1 to 32 Fitzmaurice House, 1 to 32 Dodd House, 1 to 20 Beamish House, 1 to 32 Barry House, 1 to 33 Donkin House, 1 to 33 Barlow House, and 1 to 52 Trevithick House, Rennie Estate, London",200003755263,"TREVITHICK HOUSE RENNIE ESTATE, GALLEYWALL ROAD, LONDON, SE16 3PE",TREVITHICK HOUSE RENNIE ESTATE GALLEYWALL ROAD
SE16 3PF,200003755262,LANDMANN HOUSE RENNIE ESTATE,GALLEYWALL ROAD,,,"1 to 52 Landmann House, 1 to 32 Fitzmaurice House, 1 to 32 Dodd House, 1 to 20 Beamish House, 1 to 32 Barry House, 1 to 33 Donkin House, 1 to 33 Barlow House, and 1 to 52 Trevithick House, Rennie Estate, London",200003755262,"LANDMANN HOUSE RENNIE ESTATE, GALLEYWALL ROAD, LONDON, SE16 3PF",LANDMANN HOUSE RENNIE ESTATE GALLEYWALL ROAD
SE16 3PG,200003755261,FITZMAURICE HOUSE RENNIE ESTATE,GALLEYWALL ROAD,,,"1 to 52 Landmann House, 1 to 32 Fitzmaurice House, 1 to 32 Dodd House, 1 to 20 Beamish House, 1 to 32 Barry House, 1 to 33 Donkin House, 1 to 33 Barlow House, and 1 to 52 Trevithick House, Rennie Estate, London",200003755261,"FITZMAURICE HOUSE RENNIE ESTATE, GALLEYWALL ROAD, LONDON, SE16 3PG",FITZMAURICE HOUSE RENNIE ESTATE GALLEYWALL ROAD
SE16 3PJ,200003755259,DODD HOUSE RENNIE ESTATE,GALLEYWALL ROAD,,,"1 to 52 Landmann House, 1 to 32 Fitzmaurice House, 1 to 32 Dodd House, 1 to 20 Beamish House, 1 to 32 Barry House, 1 to 33 Donkin House, 1 to 33 Barlow House, and 1 to 52 Trevithick House, Rennie Estate, London",200003755259,"DODD HOUSE RENNIE ESTATE, GALLEYWALL ROAD, LONDON, SE16 3PJ",DODD HOUSE RENNIE ESTATE GALLEYWALL ROAD
SE15 1SG,200003755254,ELY HOUSE FRIARY ESTATE,FRIARY ROAD,,,"the sites of 41 to 57 (odd), Peckham Park Road, 1 to 19 Bridgnorth House, 1 to 75 Cardiff House, 1 to 19 Exeter House, 1 to 45 Grantham House, 1 to 46 Aylesbury House, 1 to 23 Breamore House, 1 to 25 Ely House, 1 to 25 Gisburn House, 1 to 23 Royston House, 1 to 16 Tortington House, 1 to 16 Stanesgate House, 1 to 48 Lewes House, 1-30 Lynn House, 1-38 Reading House, London",200003755254,"ELY HOUSE FRIARY ESTATE, FRIARY ROAD, LONDON, SE15 1SG",ELY HOUSE FRIARY ESTATE FRIARY ROAD
SE1 5SA,200003755250,FAWKHAM HOUSE LONGFIELD ESTATE,FORT ROAD,,,"The Longfield Estate, London",200003755250,"FAWKHAM HOUSE LONGFIELD ESTATE, FORT ROAD, LONDON, SE1 5SA",FAWKHAM HOUSE LONGFIELD ESTATE FORT ROAD
SE1 5RZ,200003755249,DARTFORD HOUSE LONGFIELD ESTATE,FORT ROAD,,,"The Longfield Estate, London",200003755249,"DARTFORD HOUSE LONGFIELD ESTATE, FORT ROAD, LONDON, SE1 5RZ",DARTFORD HOUSE LONGFIELD ESTATE FORT ROAD
SE15 2BZ,200003755246,WALKYNSCROFT BRAYARDS ROAD ESTATE,FIRBANK ROAD,,,"Walkynscroft and Ryegates, 113, 117, 119, 123, 127 and 131 (odd) Brayards Road, 59 and 83 Hollydale Road and  5, 11 and 12 Hathorne Close and land lying to the north of Brayards Road, London",200003755246,"WALKYNSCROFT BRAYARDS ROAD ESTATE, FIRBANK ROAD, LONDON, SE15 2BZ",WALKYNSCROFT BRAYARDS ROAD ESTATE FIRBANK ROAD
SE5 9HG,200003755243,WITHAM HOUSE CRAWFORD ESTATE,CRAWFORD ROAD,,,"Crawford Housing Estate, London",200003755243,"WITHAM HOUSE CRAWFORD ESTATE, CRAWFORD ROAD, LONDON, SE5 9HG",WITHAM HOUSE CRAWFORD ESTATE CRAWFORD ROAD
SE5 9HF,200003755242,WIDECOMBE HOUSE CRAWFORD ESTATE,CRAWFORD ROAD,,,"Crawford Housing Estate, London",200003755242,"WIDECOMBE HOUSE CRAWFORD ESTATE, CRAWFORD ROAD, LONDON, SE5 9HF",WIDECOMBE HOUSE CRAWFORD ESTATE CRAWFORD ROAD
SE5 9NL,200003755240,KESWICK HOUSE CRAWFORD ESTATE,CRAWFORD ROAD,,,"Crawford Housing Estate, London",200003755240,"KESWICK HOUSE CRAWFORD ESTATE, CRAWFORD ROAD, LONDON, SE5 9NL",KESWICK HOUSE CRAWFORD ESTATE CRAWFORD ROAD
SE15 5EF,200003755238,PURDON HOUSE OLIVER GOLDSMITH ESTATE,CLAYTON ROAD,,,"Flamborough House and Purdon House, Oliver Goldsmith Estate, London",200003755238,"PURDON HOUSE OLIVER GOLDSMITH ESTATE, CLAYTON ROAD, LONDON, SE15 5EF",PURDON HOUSE OLIVER GOLDSMITH ESTATE CLAYTON ROAD
SE5 8DP,200003755237,BIRDSALL HOUSE,CHAMPION HILL,,,land and buildings on the south side of Champion Hill,200003755237,"BIRDSALL HOUSE, CHAMPION HILL, LONDON, SE5 8DP",BIRDSALL HOUSE CHAMPION HILL
SE5 8DW,200003755236,APPLESHAW HOUSE CHAMPION HILL ESTATE,CHAMPION HILL,,,land and buildings on the south side of Champion Hill,200003755236,"APPLESHAW HOUSE CHAMPION HILL ESTATE, CHAMPION HILL, LONDON, SE5 8DW",APPLESHAW HOUSE CHAMPION HILL ESTATE CHAMPION HILL
SE15 2DF,200003755235,RYEGATES BRAYARDS ROAD ESTATE,CAULFIELD ROAD,,,"Walkynscroft and Ryegates, 113, 117, 119, 123, 127 and 131 (odd) Brayards Road, 59 and 83 Hollydale Road and  5, 11 and 12 Hathorne Close and land lying to the north of Brayards Road, London",200003755235,"RYEGATES BRAYARDS ROAD ESTATE, CAULFIELD ROAD, LONDON, SE15 2DF",RYEGATES BRAYARDS ROAD ESTATE CAULFIELD ROAD
SE5 7JE,200003755229,LANDOR HOUSE ELMINGTON ESTATE,CAMBERWELL ROAD,,,"Kenyon House, Bowyer Place, Milton House, Keats House, Part of Marvell House, Part of Kipling House, Landor House and Lamb House, Camberwell Road Part of Masterman House, Pope House part of Flecker House, Lomond Grove and part of 1 to 20 Broome Way, Camberwell",200003755229,"LANDOR HOUSE ELMINGTON ESTATE, CAMBERWELL ROAD, LONDON, SE5 7JE",LANDOR HOUSE ELMINGTON ESTATE CAMBERWELL ROAD
SE21 8PY,200003755223,OLDHAM HOUSE KINGSWOOD ESTATE,BOWEN DRIVE,,,"Kingswood Estate, London",200003755223,"OLDHAM HOUSE KINGSWOOD ESTATE, BOWEN DRIVE, LONDON, SE21 8PY",OLDHAM HOUSE KINGSWOOD ESTATE BOWEN DRIVE
SE5 0XR,200003755206,WINNINGTON HOUSE WYNDHAM ESTATE,BETHWIN ROAD,,,"Land and buildings on the north side of Sultan Street, London",200003755206,"WINNINGTON HOUSE WYNDHAM ESTATE, BETHWIN ROAD, LONDON, SE5 0XR",WINNINGTON HOUSE WYNDHAM ESTATE BETHWIN ROAD
SE5 0XS,200003755205,PALGRAVE HOUSE WYNDHAM ESTATE,BETHWIN ROAD,,,"Land and buildings on the north side of Sultan Street, London",200003755205,"PALGRAVE HOUSE WYNDHAM ESTATE, BETHWIN ROAD, LONDON, SE5 0XS",PALGRAVE HOUSE WYNDHAM ESTATE BETHWIN ROAD
SE5 0XW,200003755204,LOWELL HOUSE WYNDHAM ESTATE,BETHWIN ROAD,,,"Land and buildings on the north side of Sultan Street, London",200003755204,"LOWELL HOUSE WYNDHAM ESTATE, BETHWIN ROAD, LONDON, SE5 0XW",LOWELL HOUSE WYNDHAM ESTATE BETHWIN ROAD
SE5 0XP,200003755203,BRANTWOOD HOUSE WYNDHAM ESTATE,BETHWIN ROAD,,,"Land and buildings on the north side of Sultan Street, London",200003755203,"BRANTWOOD HOUSE WYNDHAM ESTATE, BETHWIN ROAD, LONDON, SE5 0XP",BRANTWOOD HOUSE WYNDHAM ESTATE BETHWIN ROAD
SE1 3UL,200003755201,MENDHAM HOUSE CLUNY ESTATE,BERMONDSEY STREET,,,"Cluny Housing Estate, Long Lane (SE1 4QF)",200003755201,"MENDHAM HOUSE CLUNY ESTATE, BERMONDSEY STREET, LONDON, SE1 3UL",MENDHAM HOUSE CLUNY ESTATE BERMONDSEY STREET
SE5 8HU,200003755200,PERTH COURT DENMARK HILL ESTATE,BASINGDON WAY,,,"part of the Denmark Hill Estate, London",200003755200,"PERTH COURT DENMARK HILL ESTATE, BASINGDON WAY, LONDON, SE5 8HU",PERTH COURT DENMARK HILL ESTATE BASINGDON WAY
SE1 5RY,200003755199,HARTLEY HOUSE LONGFIELD ESTATE,BALACLAVA ROAD,,,"The Longfield Estate, London",200003755199,"HARTLEY HOUSE LONGFIELD ESTATE, BALACLAVA ROAD, LONDON, SE1 5RY",HARTLEY HOUSE LONGFIELD ESTATE BALACLAVA ROAD
SE16 3NU,200003755198,POPE HOUSE MANOR ESTATE,ANCHOR STREET,,,"230 to 246 (even) and 252 to 256 (even) Southwark Park Road, 2 to 6 (even) Ambrose Sreet, 1 to 88 Pope House, 1 to 36 Trappes House, 1 to 28 Thurland House, 1 to 18 Hambley House and 1 to 36 Ramsfort House, London",200003755198,"POPE HOUSE MANOR ESTATE, ANCHOR STREET, LONDON, SE16 3NU",POPE HOUSE MANOR ESTATE ANCHOR STREET
SE22 8AE,200003755197,WILTON HOUSE EAST DULWICH ESTATE,ALBRIGHTON ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755197,"WILTON HOUSE EAST DULWICH ESTATE, ALBRIGHTON ROAD, LONDON, SE22 8AE",WILTON HOUSE EAST DULWICH ESTATE ALBRIGHTON ROAD
SE22 8AF,200003755196,WHITNEY HOUSE EAST DULWICH ESTATE,ALBRIGHTON ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755196,"WHITNEY HOUSE EAST DULWICH ESTATE, ALBRIGHTON ROAD, LONDON, SE22 8AF",WHITNEY HOUSE EAST DULWICH ESTATE ALBRIGHTON ROAD
SE22 8AG,200003755195,WHEATLAND HOUSE EAST DULWICH ESTATE,ALBRIGHTON ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755195,"WHEATLAND HOUSE EAST DULWICH ESTATE, ALBRIGHTON ROAD, LONDON, SE22 8AG",WHEATLAND HOUSE EAST DULWICH ESTATE ALBRIGHTON ROAD
SE22 8AQ,200003755194,WHADDON HOUSE EAST DULWICH ESTATE,ALBRIGHTON ROAD,,,"Dog Kennel Hill Housing Estate, London",200003755194,"WHADDON HOUSE EAST DULWICH ESTATE, ALBRIGHTON ROAD, LONDON, SE22 8AQ",WHADDON HOUSE EAST DULWICH ESTATE ALBRIGHTON ROAD
