uprn,organisation,sao,pao,street,town,postcode,postally_addressable,ward,level,classification,property_status,address_status,official,accuracy,x,y,Swk_GIS_buildingID,TOID,Building_footprint_area_m2,LR_title_no,LR_insert_date,LR_update_date,LR_estate_interest_code,LR_estate_interest,LR_class_of_title_code,LR_clase_of_title,LR_registered_status,LR_ccod_address,LR_ccod_proprietor_name_1,LR_ccod_company_registration_no_1,LR_ccod_proprietorship_category_1,LR_ccod_proprietor_1_address_1
200003755330,,,RINGMER HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533346,175620,367,1000006018525,187.648744,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755329,,,PETWORTH HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533345,175588,362,1000006018023,615.04251,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755328,,,MELBREAK HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533433,175641,358,1000006018040,798.893784,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755327,,,LEDBURY HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533398,175603,373,1000006018003,789.775575,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755326,,,INWOOD HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533482,175600,352,1000006018029,553.87755,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755325,,,GATCOMBE HOUSE EAST DULWICH ESTATE,PYTCHLEY ROAD,,,0,Champion Hill,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533456,175544,353,1000006017976,746.08305,LN3440,"Aug 29, 2012","Feb 25, 2015",EL,Estate in land,AF,Absolute freehold title,Registered,"Dog Kennel Hill Housing Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755324,,,ST LAWRENCE HOUSE ST SAVIOURS ESTATE,PURBROOK STREET,,,0,London Bridge & West Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533467,179460,1020,1000006032579,336.748744,TGL324001,"Dec 10, 2010","Feb 16, 2017",EL,Estate in land,AF,Absolute freehold title,Registered,"Land at Stevens Street, London (SE1 3BX)",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755318,,,COLLINSON HOUSE LINDLEY ESTATE,PECKHAM PARK ROAD,,,0,Old Kent Road,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534176,177241,1908,1000006168463,447.535008,SGL237780,"Jul 28, 2016","Jul 28, 2016",EL,Estate in land,AF,Absolute freehold title,Registered,"The Lindley Housing Estate, Commercial Way, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755317,,,AMBLESIDE POINT TUSTIN ESTATE,PATTERDALE ROAD,,,0,Old Kent Road,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,535142,177446,1950,1000041677912,279.161232,TGL188093,"Sep 28, 2011","Sep 28, 2011",EL,Estate in land,AF,Absolute freehold title,Registered,"Tustin Estate, Old Kent Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755316,,,MORTON HOUSE BRANDON ESTATE,OTTO STREET,,,0,Newington,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,531729,177759,2379,1000005720018,86.456248,LN107479,"Jan 26, 2012","Jul 25, 2018",EL,Estate in land,AF,Absolute freehold title,Registered,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755315,,,CORNISH HOUSE BRANDON ESTATE,OTTO STREET,,,0,Newington,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,531715,177692,2406,1000005719997,165.131248,LN107479,"Jan 26, 2012","Jul 25, 2018",EL,Estate in land,AF,Absolute freehold title,Registered,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755313,,,NORTHFLEET HOUSE TABARD GARDEN ESTATE,NEWCOMEN STREET,,,0,Chaucer,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,532670,179896,568,1000005887285,950.74748,SGL236955,"Mar 02, 2010","Oct 05, 2017",EL,Estate in land,AF,Absolute freehold title,Registered,"Betsham House and parts of Northfleet House, Boughton House, Balin House and Brenley House, Mermaid Court",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755308,,,RITCHIE HOUSE HOWLANDS ESTATE,MOODKEE STREET,,,0,Rotherhithe,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,535272,179402,2037,1000041683466,226.486248,LN114018,"Jul 11, 2011","Jun 30, 2017",EL,Estate in land,AF,Absolute freehold title,Registered,"Howland Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755307,,,WHARTON HOUSE ST SAVIOURS ESTATE,MILLSTREAM ROAD,,,0,London Bridge & West Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533694.07,179506.41,1043,1000006030098,38.236992,LN101943,"Mar 02, 2010","Oct 03, 2019",EL,Estate in land,AF,Absolute freehold title,Registered,"land and buildings lying to the west of Stanworth Street, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755306,,,CASBY HOUSE DICKENS ESTATE,MARINE STREET,,,0,North Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534170,179420,2113,1000006174311,302.776248,LN155578,"May 25, 2010","Mar 05, 2019",EL,Estate in land,AF,Absolute freehold title,Registered,"65, 67 and 69 Jamaica Road and the sites of 4 and 5 Llewellyn Grove, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755296,,,MASTERMAN HOUSE ELMINGTON ESTATE,LOMOND GROVE,,,0,Camberwell Green,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,532541,177302,2691,1000005881665,333.66452,SGL239531,"Feb 16, 2017","Nov 06, 2019",EL,Estate in land,AF,Absolute freehold title,Registered,"Kenyon House, Bowyer Place, Milton House, Keats House, Part of Marvell House, Part of Kipling House, Landor House and Lamb House, Camberwell Road Part of Masterman House, Pope House part of Flecker House, Lomond Grove and part of 1 to 20 Broome Way, Camberwell",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755294,,,EDNAM HOUSE FRIARY ESTATE,LATONA ROAD,,,0,Old Kent Road,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534184,177646,1913,1000006166206,815.908744,TGL266449,"Dec 21, 2010","Dec 21, 2010",EL,Estate in land,AF,Absolute freehold title,Registered,"Land at Friary Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755293,,,TENTERDEN HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,0,Faraday,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533246,178245,2893,1000006029669,287.6584,SGL3834,"Jan 06, 2012","Nov 12, 2012",EL,Estate in land,AF,Absolute freehold title,Registered,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755291,,,SOUTHBOROUGH HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,0,Faraday,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533257,178263,2910,1000006029408,482.442,SGL3834,"Jan 06, 2012","Nov 12, 2012",EL,Estate in land,AF,Absolute freehold title,Registered,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755290,,,KESTON HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,0,Faraday,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533304,178253,2960,1000006029671,831.71248,SGL3834,"Jan 06, 2012","Nov 12, 2012",EL,Estate in land,AF,Absolute freehold title,Registered,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755289,,,HADLOW HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,0,Faraday,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533411,178383,2995,1000006029683,284.497504,SGL3834,"Jan 06, 2012","Nov 12, 2012",EL,Estate in land,AF,Absolute freehold title,Registered,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755288,,,FAVERSHAM HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,0,Faraday,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533270,178227,2865,1000006029670,344.423752,TGL303855,"Jan 11, 2012","Jan 11, 2012",EL,Estate in land,AF,Absolute freehold title,Registered,"Flat 1 to 81, Ravenstone, Bagshot Street, London, Flat 1 to 30 Foxcote, 150 Albany Road, London, Flat 1 to 25 Padbury, Bagshot Street, London, Flat 1 to 30 Winslow, Kinglake Street, London and Flat 1 to 28 Faversham House, Kinglake Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755287,,,BETHERSDEN HOUSE KINGLAKE ESTATE,KINGLAKE STREET,,,0,Faraday,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533310,178306,2968,1000006029411,609.94692,SGL3834,"Jan 06, 2012","Nov 12, 2012",EL,Estate in land,AF,Absolute freehold title,Registered,"Leysdown House, Flinton Street, Ifield House, Madron Street, Hadlow House, Barham House, Bethersden House, Southborough House, Tenterden House, Faversham House, Keston House, Amery House, and Swanley House, Kinglake Street, 1 to 43 (inclusive) Kinglake Street, Deal House, Littlebourne House, Groombridge House, Cuxton House, Benenden House, Mina Road, 2 to 12 (inclusive) Mina Road, 1 to 17 (inclusive) Ivy Church Lane",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755284,,,CUNNINGHAM HOUSE ELMINGTON ESTATE,HOPEWELL STREET,,,0,Camberwell Green,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,532766,177143,2700,1000005882509,296.35,SGL236956,"Aug 28, 2019","Aug 28, 2019",EL,Estate in land,AF,Absolute freehold title,Registered,"Elmington Housing Estate, Elmington Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755283,,,CRUDEN HOUSE BRANDON ESTATE,HILLINGDON STREET,,,0,Newington,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,531730,177563,2411,1000005720062,173.066256,LN107479,"Jan 26, 2012","Jul 25, 2018",EL,Estate in land,AF,Absolute freehold title,Registered,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755282,,,BRAWNE HOUSE BRANDON ESTATE,HILLINGDON STREET,,,0,Newington,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,531803,177574,2413,1000005720487,172.468752,LN107479,"Jan 26, 2012","Jul 25, 2018",EL,Estate in land,AF,Absolute freehold title,Registered,"land lying to the north and south of Lorrimore Square and south of Bethwin Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755274,,,HERON HOUSE PELICAN ESTATE,GRUMMANT ROAD,,,0,Rye Lane,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533670,176692,106,1000006020791,26.552496,TGL278819,"Mar 02, 2010","Mar 02, 2010",EL,Estate in land,AF,Absolute freehold title,Registered,"Land on the east side of Talfourd Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755273,,,CRANE HOUSE PELICAN ESTATE,GRUMMANT ROAD,,,0,Rye Lane,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533770,176629,43,1000006020765,59.92376,TGL278819,"Mar 02, 2010","Mar 02, 2010",EL,Estate in land,AF,Absolute freehold title,Registered,"Land on the east side of Talfourd Road, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755271,,,READING HOUSE FRIARY ESTATE,GREEN HUNDRED ROAD,,,0,Old Kent Road,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534479,177633,1854,1000006166304,606.692817,TGL230654,"Dec 21, 2010","Dec 21, 2010",EL,Estate in land,AF,Absolute freehold title,Registered,"the sites of 41 to 57 (odd), Peckham Park Road, 1 to 19 Bridgnorth House, 1 to 75 Cardiff House, 1 to 19 Exeter House, 1 to 45 Grantham House, 1 to 46 Aylesbury House, 1 to 23 Breamore House, 1 to 25 Ely House, 1 to 25 Gisburn House, 1 to 23 Royston House, 1 to 16 Tortington House, 1 to 16 Stanesgate House, 1 to 48 Lewes House, 1-30 Lynn House, 1-38 Reading House, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755270,,,LEWES HOUSE FRIARY ESTATE,GREEN HUNDRED ROAD,,,0,Old Kent Road,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534471,177711,1911,1000006166306,581.265,TGL230654,"Dec 21, 2010","Dec 21, 2010",EL,Estate in land,AF,Absolute freehold title,Registered,"the sites of 41 to 57 (odd), Peckham Park Road, 1 to 19 Bridgnorth House, 1 to 75 Cardiff House, 1 to 19 Exeter House, 1 to 45 Grantham House, 1 to 46 Aylesbury House, 1 to 23 Breamore House, 1 to 25 Ely House, 1 to 25 Gisburn House, 1 to 23 Royston House, 1 to 16 Tortington House, 1 to 16 Stanesgate House, 1 to 48 Lewes House, 1-30 Lynn House, 1-38 Reading House, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755269,,,GRANTHAM HOUSE FRIARY ESTATE,GREEN HUNDRED ROAD,,,0,Old Kent Road,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534469,177582,1853,1000006166130,607.718411,TGL230654,"Dec 21, 2010","Dec 21, 2010",EL,Estate in land,AF,Absolute freehold title,Registered,"the sites of 41 to 57 (odd), Peckham Park Road, 1 to 19 Bridgnorth House, 1 to 75 Cardiff House, 1 to 19 Exeter House, 1 to 45 Grantham House, 1 to 46 Aylesbury House, 1 to 23 Breamore House, 1 to 25 Ely House, 1 to 25 Gisburn House, 1 to 23 Royston House, 1 to 16 Tortington House, 1 to 16 Stanesgate House, 1 to 48 Lewes House, 1-30 Lynn House, 1-38 Reading House, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755267,,,WOODVILLE HOUSE ST SAVIOURS ESTATE,GRANGE WALK,,,0,London Bridge & West Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533637,179341,1160,1000006031647,348.991256,TGL141660,"Sep 19, 2011","Sep 19, 2011",EL,Estate in land,AF,Absolute freehold title,Registered,St Saviour's Estate,THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755266,,,VALOIS HOUSE ST SAVIOURS ESTATE,GRANGE WALK,,,0,London Bridge & West Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,533596,179304,1220,1000006031630,412.831248,TGL141660,"Sep 19, 2011","Sep 19, 2011",EL,Estate in land,AF,Absolute freehold title,Registered,St Saviour's Estate,THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755263,,,TREVITHICK HOUSE RENNIE ESTATE,GALLEYWALL ROAD,,,0,South Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534865,178613,2535,1000006169634,141.425008,TGL242005,"Oct 12, 2011","Nov 03, 2011",EL,Estate in land,AF,Absolute freehold title,Registered,"1 to 52 Landmann House, 1 to 32 Fitzmaurice House, 1 to 32 Dodd House, 1 to 20 Beamish House, 1 to 32 Barry House, 1 to 33 Donkin House, 1 to 33 Barlow House, and 1 to 52 Trevithick House, Rennie Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
200003755262,,,LANDMANN HOUSE RENNIE ESTATE,GALLEYWALL ROAD,,,0,South Bermondsey,,Parent Shell Property Shell,APPROVED,APPROVED,0,Visual centre,534913,178628,2534,1000006169556,145.438736,TGL242005,"Oct 12, 2011","Nov 03, 2011",EL,Estate in land,AF,Absolute freehold title,Registered,"1 to 52 Landmann House, 1 to 32 Fitzmaurice House, 1 to 32 Dodd House, 1 to 20 Beamish House, 1 to 32 Barry House, 1 to 33 Donkin House, 1 to 33 Barlow House, and 1 to 52 Trevithick House, Rennie Estate, London",THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK,,Local Authority,"160 Tooley Street, London SE1 2QH"
